Date,Price,Open,High,Low,Vol.,Change %,Price_Lag1
2025-01-22,103684.8,106157.2,106266.2,103354.4,77560.0,-2.33,106157.2
2025-01-23,103912.1,103681.3,106806.5,101281.6,141800.0,0.22,103684.8
2025-01-24,104862.3,103913.6,107102.2,102760.0,83960.0,0.91,103912.1
2025-01-25,104742.9,104861.4,105255.6,104133.9,37680.0,-0.11,104862.3
2025-01-26,102637.8,104743.8,105399.8,102543.8,32180.0,-2.01,104742.9
2025-01-27,102091.7,102618.3,103234.8,97987.5,146380.0,-0.53,102637.8
2025-01-28,101349.3,102085.2,103584.1,100288.0,74690.0,-0.73,102091.7
2025-01-29,103722.0,101342.1,104760.0,101340.6,74380.0,2.34,101349.3
2025-01-30,104726.9,103723.0,106409.1,103388.4,74840.0,0.97,103722.0
2025-01-31,102424.2,104726.9,105876.3,101576.0,82790.0,-2.2,104726.9
2025-02-01,100648.0,102421.3,102770.8,100293.5,47480.0,-1.73,102424.2
2025-02-02,97684.9,100647.1,101451.0,96250.2,99360.0,-2.94,100648.0
2025-02-03,101337.1,97686.0,102372.2,91695.8,190810.0,3.74,97684.9
2025-02-04,97793.4,101339.7,101692.9,96190.5,117350.0,-3.5,101337.1
2025-02-05,96595.3,97784.8,99028.3,96163.8,82920.0,-1.23,97793.4
2025-02-06,96568.8,96606.3,99119.2,95706.6,76920.0,-0.03,96595.3
2025-02-07,96513.5,96564.8,100133.9,95693.7,97600.0,-0.06,96568.8
2025-02-08,96447.9,96513.5,96862.8,95716.1,38990.0,-0.07,96513.5
2025-02-09,96469.2,96448.4,97297.8,94750.4,48380.0,0.02,96447.9
2025-02-10,97434.7,96469.2,98311.6,95307.7,71430.0,1.0,96469.2
2025-02-11,95771.7,97434.7,98476.5,94902.7,69890.0,-1.71,97434.7
2025-02-12,97881.3,95777.2,98095.8,94110.7,87210.0,2.2,95771.7
2025-02-13,96610.2,97874.7,98079.6,95295.4,66760.0,-1.3,97881.3
2025-02-14,97504.6,96611.6,98817.3,96316.5,65370.00000000001,0.93,96610.2
2025-02-15,97573.4,97504.4,97973.2,97210.8,29650.0,0.07,97504.6
2025-02-16,96132.1,97573.1,97706.5,96060.2,33350.0,-1.48,97573.4
2025-02-17,95781.3,96120.2,97002.3,95222.0,58400.0,-0.36,96132.1
2025-02-18,95638.0,95781.5,96645.1,93403.4,74090.0,-0.15,95781.3
2025-02-19,96644.8,95663.7,96829.6,95049.1,58270.0,1.05,95638.0
2025-02-20,98310.3,96645.2,98721.6,96441.9,61840.0,1.72,96644.8
2025-02-21,96155.6,98310.3,99473.4,94903.6,104280.0,-2.19,98310.3
2025-02-22,96556.1,96158.3,96930.8,95801.1,45620.0,0.42,96155.6
2025-02-23,96258.8,96556.2,96655.2,95259.5,38820.0,-0.31,96556.1
2025-02-24,91508.5,96261.0,96497.9,91378.5,96460.0,-4.93,96258.8
2025-02-25,88686.0,91510.4,92523.1,86097.5,195290.0,-3.08,91508.5
2025-02-26,84212.7,88675.0,89375.3,82332.9,145330.0,-5.04,88686.0
2025-02-27,84714.6,84204.6,87013.9,82723.5,116140.0,0.6,84212.7
2025-02-28,84381.2,84713.3,85028.7,78329.8,186900.0,-0.39,84714.6
2025-03-01,86071.6,84353.4,86546.3,83837.3,79510.0,2.0,84381.2
2025-03-02,94265.1,86065.7,94986.5,85069.3,126760.0,9.52,86071.6
2025-03-03,86209.7,94266.1,94266.1,85140.8,143150.0,-8.55,94265.1
2025-03-04,87266.3,86083.8,88887.8,81617.0,132500.0,1.23,86209.7
2025-03-05,90611.7,87269.5,90937.8,86429.4,95540.0,3.83,87266.3
2025-03-06,89930.9,90611.7,92802.0,87849.6,89270.0,-0.75,90611.7
2025-03-07,86531.2,89879.5,91059.8,84864.3,138110.0,-3.78,89930.9
2025-03-08,86221.9,86783.8,86886.8,85264.6,41900.0,-0.36,86531.2
2025-03-09,80691.6,86221.5,86498.6,80048.9,69900.0,-6.41,86221.9
2025-03-10,78575.9,80702.2,83902.8,77480.5,120230.0,-2.62,80691.6
2025-03-11,82921.1,78579.7,83572.6,76677.1,123590.0,5.53,78575.9
2025-03-12,83664.3,82921.1,84266.5,80646.6,88610.0,0.9,82921.1
2025-03-13,81100.2,83664.7,84292.0,79954.9,79250.0,-3.06,83664.3
2025-03-14,83977.1,81103.5,85286.6,80833.2,81230.0,3.55,81100.2
2025-03-15,84341.3,83978.7,84679.5,83636.4,38400.0,0.43,83977.1
2025-03-16,82578.4,84341.3,84942.5,82014.2,50040.0,-2.09,84341.3
2025-03-17,84019.1,82580.3,84729.2,82525.0,58040.0,1.74,82578.4
2025-03-18,82719.1,84019.1,84019.1,81171.3,58170.0,-1.55,84019.1
2025-03-19,86841.0,82719.1,86990.6,82557.5,84610.0,4.98,82719.1
2025-03-20,84208.1,86841.3,87419.0,83656.1,69860.0,-3.03,86841.0
2025-03-21,84073.3,84208.7,84831.0,83215.9,42800.0,-0.16,84208.1
2025-03-22,83840.5,84076.6,84526.3,83688.2,20840.0,-0.28,84073.3
2025-03-23,86077.4,83840.2,86082.0,83812.7,31130.0,2.67,83840.5
2025-03-24,87490.0,86076.1,88740.2,85541.6,95710.0,1.64,86077.4
2025-03-25,87404.0,87495.3,88523.3,86328.5,75240.0,-0.1,87490.0
2025-03-26,86912.0,87349.8,88276.7,85866.4,62040.0,-0.56,87404.0
